WARNING 2024-03-02 23:46:12,145 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:46:12,146 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:46:12,146 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:46:12,146 Not Found: /static/admin/css/dashboard.css
WARNING 2024-03-02 23:46:12,148 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:12,149 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:12,149 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:12,149 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:46:12,149 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:12,150 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:12,150 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:12,150 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2024-03-02 23:46:13,187 "GET /admin/ HTTP/1.1" 200 7052
WARNING 2024-03-02 23:46:13,201 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:46:13,202 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:46:13,202 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:46:13,203 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:46:13,203 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:46:13,204 Not Found: /static/admin/css/dashboard.css
WARNING 2024-03-02 23:46:13,205 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:13,205 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:13,205 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:46:13,205 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:13,206 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:13,206 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:13,206 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:13,207 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:24,349 Not Found: /static/debug_toolbar/css/toolbar.css
WARNING 2024-03-02 23:46:24,350 Not Found: /static/debug_toolbar/js/toolbar.js
WARNING 2024-03-02 23:46:24,350 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:24,350 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:24,366 Not Found: /static/debug_toolbar/css/toolbar.css
WARNING 2024-03-02 23:46:24,367 Not Found: /static/debug_toolbar/css/print.css
WARNING 2024-03-02 23:46:24,368 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:24,368 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 404 179
INFO 2024-03-02 23:46:41,447 "GET /admin/ HTTP/1.1" 302 0
INFO 2024-03-02 23:46:41,454 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
WARNING 2024-03-02 23:46:41,462 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:46:41,463 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:46:41,464 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:46:41,466 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:46:41,467 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:41,467 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:41,467 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:46:41,469 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:41,469 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:41,470 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:41,471 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:46:41,471 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:46:41,472 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:46:41,472 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:47:07,811 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4319
WARNING 2024-03-02 23:47:07,818 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:47:07,819 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:47:07,819 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:47:07,820 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:47:07,821 Not Found: /static/admin/css/responsive.css
WARNING 2024-03-02 23:47:07,822 Not Found: /static/admin/js/theme.js
WARNING 2024-03-02 23:47:07,822 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:07,822 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:07,823 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:07,823 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2024-03-02 23:47:07,823 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:07,824 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:07,824 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2024-03-02 23:47:07,825 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2024-03-02 23:47:20,634 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4319
WARNING 2024-03-02 23:47:20,640 Not Found: /static/admin/css/base.css
WARNING 2024-03-02 23:47:20,641 Not Found: /static/admin/css/dark_mode.css
WARNING 2024-03-02 23:47:20,641 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2024-03-02 23:47:20,641 Not Found: /static/admin/css/login.css
WARNING 2024-03-02 23:47:20,642 Not Found: /static/admin/css/responsive.css
